0	0	20.05
1 	0	14.99
2 	0	11.98
3 	0	10.98
4 	0	10.00
5 	0	9.39
6 	0	9.00
7 	0	8.45
8 	0	8.01	
9 	0	7.60
10 	0	7.24
11 	0	7.01
12 	0	6.49
13 	0	6.01
14 	0	5.85
15 	0	5.53
16 	0	5.23
17 	0	5.00
18 	0	4.66
19 	0	4.43
20 	0	4.18
21 	0	4.01
22 	0	3.71
23 	0	3.49	
24 	0	3.28
25 	0	3.01
26 	0	2.90 
27 	0	2.73
28 	0	2.58
29 	0	2.44
30 	0	2.32
31 	0	2.21
32 	0	2.10
33 	0	2.00
34 	0	1.90
35 	0	1.82
36 	0	1.74	
37 	0	1.67
38 	0	1.60
39 	0	1.53
40 	0	1.50
41 	0	1.41
42 	0	1.36
43 	0	1.30
44 	0	1.25
45 	0	1.21
46 	0	1.15
47 	0	1.11
48 	0	1.07
49 	0	1.04
50 	0	1.00
51 	0	0.95
52 	0	0.92
53 	0	0.89
54 	0	0.85
55 	0	0.82
56 	0	0.79
57 	0	0.76
58 	0	0.73
59 	0	0.70
60 	0	0.68
61 	0	0.64
62 	0	0.62
63 	0	0.60
64 	0	0.58
65 	0	0.55
66 	0	0.52
67 	0	0.50
68 	0	0.48
69 	0	0.46
70 	0	0.44
71 	0	0.42
72 	0	0.40
73 	0	0.38
74 	0	0.36
75 	0	0.35
76 	0	0.33
77 	0	0.31
78 	0	0.30
79 	0	0.27
80 	0	0.26
81 	0	0.24
82 	0	0.23
83 	0	0.21
84 	0	0.20
85 	0	0.18
86 	0	0.17
87 	0	0.15
88 	0	0.14
89 	0	0.13
90 	0	0.11
91 	0	0.10
92 	0	0.08
93 	0	0.07
94 	0	0.06
95 	0	0.05
96 	0	0.03
97 	0	0.02
98 	0	0.01
99 	0	0.00
